popularity,revenue,runtime,status,title,vote_average,vote_count,total,average
150.437577,2787965087,162,Released,Avatar,7.2,11800,11807.2,5903.6
139.082615,961000000,169,Released,Pirates of the Caribbean: At World's End,6.9,4500,4506.9,2253.45
107.376788,880674609,148,Released,Spectre,6.3,4466,4472.3,2236.15
112.31295,1084939099,165,Released,The Dark Knight Rises,7.6,9106,9113.6,4556.8
43.926995,284139100,132,Released,John Carter,6.1,2124,2130.1,1065.05
115.699814,890871626,139,Released,Spider-Man 3,5.9,3576,3581.9,1790.95
48.681969,591794936,100,Released,Tangled,7.4,3330,3337.4,1668.7
134.279229,1405403694,141,Released,Avengers: Age of Ultron,7.3,6767,6774.3,3387.15
98.885637,933959197,153,Released,Harry Potter and the Half-Blood Prince,7.4,5293,5300.4,2650.2
155.790452,873260194,151,Released,Batman v Superman: Dawn of Justice,5.7,7004,7009.7,3504.85
57.925623,391081192,154,Released,Superman Returns,5.4,1400,1405.4,702.7
107.928811,586090727,106,Released,Quantum of Solace,6.1,2965,2971.1,1485.55
145.847379,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,5253.0,2626.5
49.046956,89289910,149,Released,The Lone Ranger,5.9,2311,2316.9,1158.45
99.398009,662845518,143,Released,Man of Steel,6.5,6359,6365.5,3182.75
53.978602,419651413,150,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630,1636.3,818.15
144.448633,1519557910,143,Released,The Avengers,7.4,11776,11783.4,5891.7
135.413856,1045713802,136,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948,4954.4,2477.2
52.035179,624026776,106,Released,Men in Black 3,6.2,4160,4166.2,2083.1
120.965743,956019788,144,Released,The Hobbit: The Battle of the Five Armies,7.1,4760,4767.1,2383.55
